,subject,score
0,1,0.4892156862745099
1,2,0.669607843137255
2,3,0.7
3,4,0.5843137254901961
4,5,0.6598039215686277
5,6,0.5764705882352941
6,7,0.2647058823529412
7,8,0.37058823529411766
8,9,0.8715686274509804
9,10,0.511764705882353
10,11,0.711764705882353
11,12,0.6245098039215685
12,13,0.28725490196078435
13,14,0.2980392156862745
14,15,0.34509803921568627
15,16,0.46862745098039216
16,17,0.5656862745098039
17,18,0.5313725490196078
18,19,0.6823529411764706
19,20,0.5245098039215685
20,21,0.7382352941176471
21,22,0.4362745098039215
22,23,0.6500000000000001
23,24,0.10392156862745097
24,25,0.4127450980392157
25,26,0.3058823529411765
26,27,0.4215686274509804
27,28,0.5147058823529411
28,29,0.46176470588235297
29,30,0.7245098039215686
30,31,0.4333333333333333
31,32,0.4323529411764706
32,33,0.5392156862745098
33,34,0.5382352941176469
34,35,0.7127450980392156
35,36,0.2852941176470588
36,37,0.3990196078431372
37,38,0.6117647058823529
38,39,0.4049019607843137
39,40,0.538235294117647
40,41,0.7725490196078431
41,42,0.4147058823529412
42,43,0.3764705882352941
43,44,0.3558823529411765
44,45,0.4774509803921569
45,46,0.5941176470588235
46,47,0.2519607843137255
47,48,0.4509803921568627
48,49,0.5509803921568628
49,50,0.4156862745098039
50,51,0.7754901960784314
51,52,0.5019607843137255
52,53,0.17647058823529416
53,54,0.5911764705882352
54,55,0.19313725490196076
55,56,0.46176470588235297
56,57,0.4509803921568627
57,58,0.24705882352941178
58,59,0.6088235294117645
59,60,0.4117647058823529
60,61,0.24803921568627452
61,62,0.646078431372549
62,63,0.45392156862745103
63,64,0.5813725490196078
64,65,0.9323529411764707
65,66,0.6196078431372549
66,67,0.2686274509803922
67,68,0.33921568627450976
68,69,0.627450980392157
69,70,0.8245098039215686
70,71,0.30294117647058827
71,72,0.9
72,73,0.4352941176470588
73,74,0.31568627450980397
74,75,0.531372549019608
75,76,0.2843137254901961
76,77,0.5029411764705882
77,78,0.37254901960784315
78,79,0.5794117647058823
79,80,0.44215686274509797
80,81,0.3019607843137255
81,82,0.7313725490196079
82,83,0.3333333333333334
83,84,0.85
84,85,0.2862745098039216
85,87,0.29705882352941176
86,88,0.853921568627451
87,89,0.4313725490196078
88,90,0.43921568627450985
89,91,0.5235294117647059
90,92,0.4107843137254902
91,93,0.6372549019607844
92,94,0.5647058823529413
93,95,0.4509803921568627
94,96,0.5901960784313726
95,97,0.5627450980392157
96,98,0.6784313725490198
97,99,0.6941176470588235
98,100,0.44803921568627453
