,subject,MU,OSPAN,RAPM,Tau
0,1,-0.08152390210127107,-0.3229533683782113,1.3420091496576434,102.72108886
1,2,0.9559065867414476,0.9183986413255372,-0.6209296065580149,97.656616825
2,3,1.1306910712747311,0.3633225394254865,0.9494213984145116,102.457896015
3,4,0.4653823882125532,1.1202444965619192,-0.2283418553148831,150.668076445
4,5,0.8995244949565181,1.009229276181909,1.7345969009007751,112.829027365
5,6,0.4202767147846084,1.009229276181909,-1.406105109044278,111.234232405
6,7,-1.3726738039761772,1.009229276181909,-1.0135173578011465,165.88452799499996
7,8,-0.7637472126989288,0.8679371775164416,0.9494213984145116,96.223101565
8,9,2.1173776775110134,1.291813473512844,0.9494213984145116,115.34775786
9,10,0.04815490900406864,-1.0495984472291855,0.5568336471713803,119.37426818
10,11,1.1983495814166487,-1.4028286938928538,-1.406105109044278,142.146800865
11,12,0.6965489645307671,0.2422150262836573,0.5568336471713803,57.27464181000001
12,13,-1.2429949928708373,0.04036917104727528,0.9494213984145116,108.383219015
13,14,-1.180974691907414,-0.22203044076002024,-1.7986928602874095,144.647528585
14,15,-0.9103406513397478,1.009229276181909,-1.0135173578011465,68.69525001
15,16,-0.1999262948496251,-0.39359941771094503,-0.6209296065580149,80.571433165
16,17,0.3582564138211852,0.9587678123728146,0.5568336471713803,102.760262175
17,18,0.16091909257392903,1.1202444965619192,0.9494213984145116,147.77343081
18,19,1.0292033060618568,-0.7165527860891562,0.16424589592824848,155.064370935
19,20,0.12145162832447726,1.291813473512844,-1.406105109044278,125.77285106
20,21,1.3505812292359602,-0.08073834209455169,0.16424589592824848,113.759184435
21,22,-0.3859871977398959,-2.1597506510292868,-1.7986928602874095,104.8016951
22,23,0.8431424031715873,-1.917535624745627,0.9494213984145116,97.249310955
23,24,-2.297340109249036,-0.8982140558019001,-0.6209296065580149,166.20908179999995
24,25,-0.5213042180237284,-0.12110751314182923,0.5568336471713803,103.882306395
25,26,-1.1358690184794695,0.04036917104727528,0.16424589592824848,143.560290795
26,27,-0.4705603354172912,0.16147668418910566,-0.6209296065580149,92.869973855
27,28,0.06506953653954706,0.2825841973309348,-0.2283418553148831,157.35076157
28,29,-0.2393937590990762,0.4642454670436775,1.7345969009007751,106.373291125
29,30,1.271646300737057,0.5752606874236887,0.16424589592824848,96.133515415
30,31,-0.40290182527537505,0.15138439142728652,-1.0135173578011465,174.72826594
31,32,-0.4085400344538677,0.25230731904547754,-0.6209296065580149,158.75719993
32,33,0.20602476600187314,0.7468296643746124,0.9494213984145116,144.3962637
33,34,0.20038655682337947,1.0798753255146438,0.5568336471713803,116.739650225
34,35,1.2039877905951404,1.1202444965619192,-0.6209296065580149,141.77867178
35,36,-1.2542714112278237,0.1412920986654663,0.5568336471713803,144.553224845
36,37,-0.6002391465226312,-0.010092292761819102,0.5568336471713803,95.439153295
37,38,0.6232522452103577,0.9183986413255372,2.1271846521439066,199.50762562
38,39,-0.5664098914516732,-0.3431379539018495,-0.2283418553148831,113.360207275
39,40,0.2003865568233801,-0.3330456611400292,0.9494213984145116,71.455605095
40,41,1.5479185504832158,0.9587678123728146,0.16424589592824848,127.047888035
