0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
176,2,1201,4,1,11,155.34026016,56.82573308,112.83059448,5.75767308,6.15513831,7.86233052,0.70191802,-0.84629374,-0.70727263,-1932.98539559,0.0,0.0,253.72499818,67.42311851
179,2,1201,4,1,7,150.85006433,48.52843274,158.74405476,4.69077545,6.85571037,7.64761847,0.50545563,-0.7026545,-0.49174134,-1936.68328542,0.0,0.0,284.57500101,87.09358063
181,2,1201,4,1,8,191.08924993,61.7842838,120.57143697,6.83176262,7.74064806,9.35795962,0.75596068,-0.87393353,-0.7641023,-1934.41702871,0.0,0.0,295.92499999,72.04767005
183,2,1201,4,3,7,162.88314978,43.98557213,89.62856168,4.56868982,5.40228876,6.35882671,0.71256182,-0.8507369,-0.72381705,-1932.93344956,0.0,0.0,240.49999913,52.93628401
185,2,1201,4,1,11,190.72976306,45.85806237,112.38024276,5.03313504,7.1351129,7.35679621,0.72003554,-0.83434843,-0.71857302,-1933.71841315,0.0,0.0,286.99999897,63.36008208
187,2,1201,4,1,14,171.03548101,51.26020172,153.39983715,5.25024179,8.05255361,8.24261218,0.61379786,-0.76028061,-0.6001366,-1932.93587817,0.0,0.0,300.84999932,83.8000742
188,2,190,4,1,9,182.0697665,42.35923365,125.773606,10.5723243,16.10421022,16.61487403,0.58289397,-0.74857352,-0.57695643,-305.90249819,0.0,0.0,288.49999927,69.14206406
189,2,1201,4,1,9,196.25632856,46.32344107,111.50894331,4.53407619,5.92912261,6.63795262,0.6356393,-0.79749153,-0.64041735,-1933.5284168,0.0,0.0,291.75000085,63.41831418
190,2,337,4,33,14,185.35539295,8.96395683,146.0341594,0.0,0.0,0.0,0.0,0.0,0.0,-543.09754365,0.0,0.0,305.07500004,75.5421522
191,2,1201,4,1,14,187.47671411,54.15840887,88.79818063,5.70544328,5.64279682,7.52826176,0.74077602,-0.88517427,-0.763527,-1933.94176694,0.0,0.0,265.6000002,56.34061625
