"mu","sig","tau","subject"
136.160449697554,44.4754378211694,112.898110834061,1
154.957848849221,48.4271788654445,113.342568981175,2
118.394774611603,54.8897312901704,102.484813596834,3
182.219917404984,87.4338846380113,189.854234017301,4
142.3427668261,69.7917230580653,118.141284553336,5
129.939399695472,47.2282810144899,129.391192955866,6
18.9347672290889,0.0526123744231999,331.788524462632,7
177.919459999737,53.3785084530284,106.428871940149,8
185.294937190929,62.7398021511845,120.203850665945,9
128.828609706595,45.629565510903,121.867673920983,10
142.753173847755,64.3164038442869,167.296962503828,11
176.142676059792,56.1906052734735,61.7291568419831,12
136.110862078359,43.6435820588333,146.656636739162,13
135.754070440869,61.0051026784241,174.104848411615,14
157.190727569372,55.052800455181,74.8163134953559,15
148.365506587561,58.480104112073,109.77506144586,16
133.217088299273,37.0178666890779,133.001730022738,17
131.211844627071,61.2568412116668,171.644892060347,18
96.5384247194477,56.1847436279465,179.459291647541,19
171.852011077822,48.7304336312206,151.387915596889,20
135.45242343091,46.3467218639698,163.447671814289,21
132.19083008223,44.0910310545123,111.541651758639,22
161.567488547923,47.7719868090083,101.62074053887,23
7.99993419834098,1.51038057574926e-05,306.22986285674,24
133.814096733636,38.92885412341,147.025466038422,25
148.098915938621,76.979016885985,187.771273128713,26
144.364729853644,55.7419128665501,92.8812661667479,27
141.585885743221,43.4760220313902,187.770958221848,28
176.48594510279,59.5014893102829,115.230980824241,29
173.876937664661,60.3177006076323,100.897391277032,30
127.028760558822,52.2859868518882,164.825459779416,31
18.7256444233884,4.09446110499318,260.229180133378,32
87.8538305410173,55.6268006743317,211.815279463918,33
142.962892644553,56.2701259619999,162.71432018614,34
128.32556801228,49.2209263294707,163.148289185793,35
125.04923256694,39.1840743880168,168.111986455128,36
152.069799246906,69.2922588575744,101.246537630398,37
124.559317132621,77.2958194712658,221.925507462858,38
140.854210348241,47.2962430331105,174.868455325812,39
184.418167216953,51.7825148421292,82.2677371235078,40
144.941692354938,52.6962851559233,149.03009095749,41
167.558962085137,55.767860631681,138.416343142931,42
144.381066160282,53.0932823900934,121.547459664446,43
138.678546034969,78.2862844905326,197.332324126454,44
149.609641592845,66.1600111680073,161.525993259989,45
178.891214940785,64.143071634636,121.691851214068,46
135.80599326814,56.3119232334312,137.312005312716,47
168.04002566274,44.6893633237227,145.302335128024,48
17.9768984078372,0.254688077812065,394.510840766414,49
154.742662110002,55.5297517203542,155.539370289855,50
133.458711650383,49.38276891906,160.727053222564,51
143.479877640914,58.111324839103,185.506968458012,52
44.004296535775,0.213291848831973,325.611662727427,53
151.144577135678,46.6596893585101,168.370113797767,54
19.9543542887468,0.0342291332450908,278.917087799697,55
132.92117560148,50.7324816698819,129.816515826442,56
139.813922340082,33.1501054531044,272.427268723103,57
119.507822277836,69.9442746788326,200.626832276453,58
155.556289356647,76.8694329412648,164.240318229564,59
123.692958081614,46.2211792331487,116.856070885058,60
159.514289530991,49.972103647744,198.50014556361,61
189.957562193959,50.9803399486188,218.729471161389,62
160.673341957517,57.0908637600173,116.784250071064,63
137.542114954589,58.6801580923582,180.29914104815,64
143.14393336044,42.6841743024503,84.420691306802,65
145.459548361779,45.8335663892583,137.355137812686,66
118.385071922255,45.8127528573809,164.720508762345,67
120.704957955438,31.7476832913741,225.745457677401,68
167.134530401487,41.0548334718721,159.983145170138,69
142.873745838886,56.9650919109046,88.0240676116585,70
141.635462715464,62.695656785839,139.28754384526,71
95.09964509423,58.0812217202231,153.831183281742,72
21.9999657240834,4.1495431287835e-07,391.923767732265,73
162.115245879029,56.9102732239907,112.730394613013,74
27.9045673265973,0.122105234912226,377.157340783762,75
93.7008902287718,50.4828055808604,245.356135120811,76
149.715752153179,45.3158220389873,94.3226760666421,77
169.908297070844,50.981613105394,115.250621896275,78
134.498567762315,46.4153971144549,91.6598010991211,79
134.72158378078,58.3001288066795,130.258253402643,80
185.554142965284,66.4606827364965,165.5078214573,81
180.61168212814,35.4305961570237,102.259323262515,82
19.9209498754882,0.922470472067506,343.011016352033,83
155.87845897145,44.5465628640648,164.978074300827,84
113.599062243909,47.4014508459082,189.324364309365,85
165.599513371499,53.9720106287578,122.263342172079,86
148.077319203323,47.3769779760546,172.90442312656,87
163.710252193977,51.9307272956828,109.042291787849,88
153.645373577187,57.654907493091,243.885882471735,89
149.972868273455,47.1778733058346,100.809846083393,90
140.047809269267,38.128907842857,127.983669046165,91
138.47582446443,61.0639470169136,117.836207826312,92
102.224801410595,52.1605148894388,201.943953316481,93
104.945888082061,55.8655477498414,225.815170682821,94
145.571630309693,53.0759583239126,159.300082842628,95
150.990592383617,61.6285720475144,145.917228414702,96
174.640849267484,48.5360992921496,103.707552241185,97
106.329914344538,62.9195880218868,176.052417222905,98
167.338165668409,66.9431529230817,140.886578725905,99
184.831538618557,60.2495751343939,122.514166245358,100
