,mu,sig,tau,subject,OSPAN,RAPM,SCamp
0,139.289922438195,38.6002540567089,137.103625078166,1,-0.4525885718428284,1.3508013139497996,4.5974278846153815
1,143.607226099304,45.8177964199182,151.043120895869,2,0.16972071444106082,-0.6216076842954832,4.34981379310345
2,143.73582969498,53.293426564605205,121.49659916999701,3,0.79203000072495,0.956319514300743,4.172530247238293
3,202.05180045787301,83.9049731010436,186.89258495038501,4,0.79203000072495,-0.22712588464642663,4.560886850152904
4,140.110171290366,68.71514403318301,136.169907001666,5,1.4143392870088394,1.745283113598856,5.057850208044382
5,139.067313350576,46.5032455593299,105.864335563594,6,1.4143392870088394,-1.4105712835935962,4.742450832072619
6,142.705261295742,39.9622661179039,217.26170873104098,7,1.4143392870088394,-1.0160894839445398,3.6638124519600272
7,184.94953900419497,49.5128919637965,104.615919278267,8,1.4143392870088394,0.956319514300743,4.214246929541044
8,185.66504231668202,58.2832599072423,113.307012082686,9,1.4143392870088394,0.956319514300743,5.262475609756097
9,143.701688935637,45.364326209802705,111.122193855422,10,-1.697207144410607,0.5618377146516864,2.5597739829231516
10,172.91024419919498,58.7139353531364,189.737264866883,11,0.79203000072495,-1.4105712835935962,5.130361271676302
11,177.35982377748502,51.146414126043396,63.860854308806296,12,0.16972071444106082,0.5618377146516864,5.191578687715831
12,142.86272307244602,46.0742709537369,135.785161650758,13,-0.4525885718428284,0.956319514300743,4.98696560196561
13,155.73579115197398,72.5120361436645,139.14749995983,14,0.16972071444106082,-1.8050530832426528,4.96777325186694
14,161.672155270282,49.4221704638258,71.0769895612107,15,1.4143392870088394,-1.0160894839445398,4.620500463392022
15,156.204582145069,56.67403072577821,96.6195398364208,16,0.16972071444106082,-0.6216076842954832,5.069077010192529
16,145.489899380997,39.3597027479126,111.419470815667,17,0.79203000072495,0.5618377146516864,4.832885032537957
17,149.85935341578102,63.7478871563524,132.342178844337,18,0.79203000072495,0.956319514300743,4.446520924422241
18,154.99393800401302,59.583956527764904,117.02834420568999,19,-1.697207144410607,0.1673559150026299,5.087240164415739
19,178.144877318638,46.6423859298441,142.938765567109,20,1.4143392870088394,-1.4105712835935962,5.445455712451859
20,131.063638365938,51.6847664829771,156.23953026721398,21,0.79203000072495,0.1673559150026299,4.864008464328907
21,145.934954409004,52.120656157913196,111.76115484919399,22,-0.4525885718428284,-1.8050530832426528,4.178493746601418
22,157.123097058733,53.2890986671062,107.451031843312,23,-1.697207144410607,0.956319514300743,4.659227861771055
23,177.010481058471,83.32099374669521,142.943505244634,24,-0.4525885718428284,-0.6216076842954832,5.753639387890897
24,140.88850088671998,43.3609249806293,98.26096426737101,25,-1.697207144410607,0.5618377146516864,3.8799322210636076
25,160.458038604792,69.2639239982782,161.666793887246,26,-1.697207144410607,0.1673559150026299,3.4597865013774123
26,144.20098442703699,62.3755920609868,99.1048989000964,27,0.16972071444106082,-0.6216076842954832,4.366880530973453
27,151.29242757819202,43.9266456852848,140.82767217659799,28,0.16972071444106082,-0.22712588464642663,4.815552870090638
28,185.019390639727,55.656077250901,128.716176014194,29,-0.4525885718428284,1.745283113598856,5.170371120107965
29,168.833820025135,59.405871970463494,123.648419204441,30,0.16972071444106082,0.1673559150026299,4.74788449466415
30,154.70382072631398,70.7186444128498,131.506618561435,31,0.16972071444106082,-1.0160894839445398,3.5546580645161243
31,146.699267969013,54.5817443119196,107.645097258152,32,-0.4525885718428284,-0.6216076842954832,5.2261495327102825
32,152.27025732126998,73.022597116873,112.62272914660801,33,0.16972071444106082,0.956319514300743,5.101766666666671
33,136.823822822046,62.618215535541204,184.42966506070098,34,1.4143392870088394,0.5618377146516864,4.782624653739613
34,140.334743591207,53.737363611163104,144.887703151749,35,0.79203000072495,-0.6216076842954832,3.2272622107969164
35,129.97733214677402,33.233774472209504,130.923053769402,36,0.79203000072495,0.5618377146516864,4.28617386489479
36,126.49862100298401,75.3861954747594,114.41555477803401,37,0.16972071444106082,0.5618377146516864,5.7289267285861785
37,120.05823126948201,77.0293063393888,245.28449494257802,38,0.16972071444106082,2.1397649132479124,5.252676547515251
38,160.463936072039,50.037748556334705,104.28823200574301,39,-0.4525885718428284,-0.22712588464642663,4.142442318514347
39,181.999427063739,50.173837643027106,86.8365625177635,40,0.79203000072495,0.956319514300743,4.65671397379913
40,143.963034254336,54.0114852455441,143.218083021446,41,0.79203000072495,0.1673559150026299,4.833605313092971
41,165.460857405939,49.1683894365307,135.785474080415,42,-1.697207144410607,-0.22712588464642663,3.3957852265673543
42,150.06613137262698,49.8432106500348,116.84246459360901,43,-0.4525885718428284,-0.6216076842954832,3.788939849624055
43,163.329959125366,70.4850929079774,177.781359450215,44,-1.697207144410607,-1.4105712835935962,5.884256055363308
44,137.165302480006,69.01363105116961,137.313926192158,45,0.79203000072495,0.1673559150026299,5.178438095238102
45,193.187297960367,73.600603339322,121.67406627107701,46,0.79203000072495,0.1673559150026299,5.275156453715773
46,148.528070946909,54.70592239636971,102.43027150309099,47,-0.4525885718428284,0.5618377146516864,4.280016465422617
47,168.08478471318702,41.870968985869006,141.78915828498302,48,1.4143392870088394,0.1673559150026299,5.768203853325049
48,127.320733212266,70.9176137685285,232.46978128483102,49,0.16972071444106082,0.5618377146516864,4.0827551803530335
49,157.871853959011,46.9347280976343,144.258794068896,50,0.16972071444106082,0.5618377146516864,4.711780072904006
50,137.330075940877,42.079442139719895,160.615351801873,51,-1.697207144410607,1.3508013139497996,4.792504708097914
51,147.19245610761,57.8536273885389,227.37414208822202,52,0.16972071444106082,0.1673559150026299,3.5837499999999975
52,124.77153466900299,61.648716107697894,205.143991041172,53,-1.697207144410607,-1.4105712835935962,5.4787300380228166
53,159.37311840121998,60.7395126825435,112.202318419482,54,1.4143392870088394,-0.6216076842954832,4.351632540121754
54,20.9530189146619,0.0534599205589974,252.795281362552,55,-1.697207144410607,-1.8050530832426528,5.355180802103872
55,166.65574363783,63.1030225213713,83.8832583543631,56,-0.4525885718428284,-0.22712588464642663,4.738683368869942
56,145.73319518273598,41.97286349697261,224.76733467025102,57,-1.697207144410607,-1.0160894839445398,5.119217054263563
57,20.2437320102131,5.17175973092623,296.190097534151,58,-1.697207144410607,-1.4105712835935962,4.094713031735317
58,188.978454513661,83.2439123678321,154.625514489078,59,0.79203000072495,1.745283113598856,4.746371742112479
