,subject,test,score,Tau
0,1,MU,-0.08152390210127107,102.72108886
1,2,MU,0.9559065867414476,97.656616825
2,3,MU,1.1306910712747311,102.457896015
3,4,MU,0.4653823882125532,150.668076445
4,5,MU,0.8995244949565181,112.829027365
5,6,MU,0.4202767147846084,111.234232405
6,7,MU,-1.3726738039761772,165.88452799499996
7,8,MU,-0.7637472126989288,96.223101565
8,9,MU,2.1173776775110134,115.34775786
9,10,MU,0.04815490900406864,119.37426818
10,11,MU,1.1983495814166487,142.146800865
11,12,MU,0.6965489645307671,57.27464181000001
12,13,MU,-1.2429949928708373,108.383219015
13,14,MU,-1.180974691907414,144.647528585
14,15,MU,-0.9103406513397478,68.69525001
15,16,MU,-0.1999262948496251,80.571433165
16,17,MU,0.3582564138211852,102.760262175
17,18,MU,0.16091909257392903,147.77343081
18,19,MU,1.0292033060618568,155.064370935
19,20,MU,0.12145162832447726,125.77285106
20,21,MU,1.3505812292359602,113.759184435
21,22,MU,-0.3859871977398959,104.8016951
22,23,MU,0.8431424031715873,97.249310955
23,24,MU,-2.297340109249036,166.20908179999995
24,25,MU,-0.5213042180237284,103.882306395
25,26,MU,-1.1358690184794695,143.560290795
26,27,MU,-0.4705603354172912,92.869973855
27,28,MU,0.06506953653954706,157.35076157
28,29,MU,-0.2393937590990762,106.373291125
29,30,MU,1.271646300737057,96.133515415
30,31,MU,-0.40290182527537505,174.72826594
31,32,MU,-0.4085400344538677,158.75719993
32,33,MU,0.20602476600187314,144.3962637
33,34,MU,0.20038655682337947,116.739650225
34,35,MU,1.2039877905951404,141.77867178
35,36,MU,-1.2542714112278237,144.553224845
36,37,MU,-0.6002391465226312,95.439153295
37,38,MU,0.6232522452103577,199.50762562
38,39,MU,-0.5664098914516732,113.360207275
39,40,MU,0.2003865568233801,71.455605095
40,41,MU,1.5479185504832158,127.047888035
41,42,MU,-0.5100277996667424,113.21878572
42,43,MU,-0.7299179576279708,101.81245852
43,44,MU,-0.8483203503763247,156.33141367
44,45,MU,-0.14918241224318793,155.240928025
45,46,MU,0.5217644799974834,129.70225748500002
46,47,MU,-1.4459705232965867,87.148174695
47,48,MU,-0.3014140600625004,143.337297615
48,49,MU,0.27368327614379,179.69248557
49,50,MU,-0.5043895904882496,109.53778844
50,51,MU,1.5648331780186957,107.521968245
51,52,MU,-0.00822718278086217,144.272228815
52,53,MU,-1.8801126300405504,150.044068255
53,54,MU,0.5048498524620038,126.182345545
54,55,MU,-1.7842630740061691,107.32506305
55,56,MU,-0.2393937590990762,124.86735692
56,57,MU,-0.3014140600625004,169.89752879
57,58,MU,-1.4741615691890517,185.35665055
58,59,MU,0.6063376176748779,161.741166915
59,60,MU,-0.5269424272022217,111.54174584
60,61,MU,-1.468523360010559,174.297160735
61,62,MU,0.8205895664576139,174.54364455
62,63,MU,-0.284499432527021,119.832998315
63,64,MU,0.4484677606770736,154.77593909
64,65,MU,2.4669466465775827,85.862652825
65,66,MU,0.6683579186383025,125.289691145
66,67,MU,-1.3501209672622048,136.00668715999998
67,68,MU,-0.9441699064107066,162.73317965
68,69,MU,0.7134635920662473,142.88156676
69,70,MU,1.8467436369433468,83.06421073
70,71,MU,-1.1527836460149483,136.89248385500002
71,72,MU,2.280885743687312,146.08773169999998
72,73,MU,-0.391625406918389,228.14466335
73,74,MU,-1.0794869266945386,98.41985779
74,75,MU,0.16091909257392964,154.08819612
75,76,MU,-1.2599096204063165,208.216485355
76,77,MU,-0.002588973602369152,95.8966296
77,78,MU,-0.7524707943419428,107.77053297
78,79,MU,0.4371913423200875,90.69739476
79,81,MU,-1.1584218551934415,149.95807135
80,82,MU,1.311113764986509,80.19051521
81,83,MU,-0.977999161481664,223.18885745
82,84,MU,1.9933370755841664,138.94181344
83,85,MU,-1.2486332020493305,126.487023565
84,87,MU,-1.186612901085907,164.71175628
85,88,MU,2.015889912298138,89.96488568999997
86,89,MU,-0.41417824363236105,214.70252356
87,90,MU,-0.36907257020441625,99.34192524
88,91,MU,0.11581341914598485,108.624369395
89,92,MU,-0.5325806363807147,117.856660615
90,93,MU,0.7698456838511775,145.79091399499995
91,94,MU,0.3526182046426929,151.48685547000005
92,95,MU,-0.3014140600625004,138.269286265
93,96,MU,0.4992116432835113,117.64850486
94,97,MU,0.3413417862857062,94.89727487
95,98,MU,1.0066504693478855,142.65622416500003
96,99,MU,1.096861816203773,134.467816635
97,100,MU,-0.31832868759797944,115.391555855
98,1,OSPAN,-0.3229533683782113,102.72108886
99,2,OSPAN,0.9183986413255372,97.656616825
100,3,OSPAN,0.3633225394254865,102.457896015
101,4,OSPAN,1.1202444965619192,150.668076445
102,5,OSPAN,1.009229276181909,112.829027365
103,6,OSPAN,1.009229276181909,111.234232405
104,7,OSPAN,1.009229276181909,165.88452799499996
105,8,OSPAN,0.8679371775164416,96.223101565
106,9,OSPAN,1.291813473512844,115.34775786
