,subject,Mem_Update,OSPAN,RAPM,Tau,Mu,Sigma,SCamp
0,1,-0.08152390210127107,-0.3229533683782113,1.3420091496576434,106.72445752,152.07079978,45.23447839,4.607705314009659
1,2,0.9559065867414476,0.9183986413255372,-0.6209296065580149,120.855988275,154.362654415,42.322657435,4.350217238962859
2,3,1.1306910712747311,0.3633225394254865,0.9494213984145116,111.727054065,150.13252598,40.677543575,4.196171581769435
3,4,0.4653823882125532,1.1202444965619192,-0.2283418553148831,172.39859476499996,213.271238975,78.25279067,4.622511737089199
4,5,0.8995244949565181,1.009229276181909,1.7345969009007751,123.16638393,153.37597089,57.31441017,5.075995702005725
5,6,0.4202767147846084,1.009229276181909,-1.406105109044278,99.036833455,142.774136155,34.42810424,4.744920877998979
6,7,-1.3726738039761772,1.009229276181909,-1.0135173578011465,175.32081739,150.662465965,37.36556697,3.6870054730258004
7,8,-0.7637472126989288,0.8679371775164416,0.9494213984145116,92.24280198,192.837692075,57.11197565000001,4.2152559948152915
8,9,2.1173776775110134,1.291813473512844,0.9494213984145116,103.864944985,190.25182089,55.178194465,5.270961182994458
9,10,0.04815490900406864,-1.0495984472291855,0.5568336471713803,118.78651816,139.05199922999998,25.429333345,2.5707700101317092
10,11,1.1983495814166487,-1.4028286938928538,-1.406105109044278,163.62562660999996,182.220747665,55.42141594,5.148259911894275
11,12,0.6965489645307671,0.2422150262836573,0.5568336471713803,45.717286455,191.25403983,54.12349992,5.180262116716116
12,13,-1.2429949928708373,0.04036917104727528,0.9494213984145116,100.86096799,160.01538886,54.05055246,4.99232442510877
13,14,-1.180974691907414,-0.22203044076002024,-1.7986928602874095,134.732704055,163.479250135,65.52041635500001,5.0292280945758
14,15,-0.9103406513397478,1.009229276181909,-1.0135173578011465,62.55620093,168.09646279499995,50.212823585,4.627702702702693
15,16,-0.1999262948496251,-0.393599417710945,-0.6209296065580149,69.19922793,175.87569932,45.64260703,5.1141186635944695
16,17,0.3582564138211852,0.9587678123728146,0.5568336471713803,88.584535805,155.99994454,38.69030276,4.835473856209147
17,18,0.16091909257392906,1.1202444965619192,0.9494213984145116,112.05009554,164.342599385,56.22700839,4.383762820512823
18,19,1.0292033060618568,-0.7165527860891562,0.16424589592824848,94.333945025,170.24517059,57.03860522,5.086203814064361
19,20,0.12145162832447726,1.291813473512844,-1.406105109044278,113.182591585,190.675329445,48.28638562,5.44683495145631
20,21,1.3505812292359602,-0.08073834209455169,0.16424589592824848,128.81424965,142.38167033,35.55011941,4.903515527950316
21,22,-0.3859871977398959,-2.1597506510292868,-1.7986928602874095,105.09143564,149.902649395,39.625252085,4.1862555309734555
22,23,0.8431424031715873,-1.917535624745627,0.9494213984145116,96.5325773,163.58161244500005,46.15858851,4.6814879649890555
23,24,-2.297340109249036,-0.8982140558019001,-0.6209296065580149,137.38157547,185.59507939,75.91569855,5.830144032921821
24,25,-0.5213042180237284,-0.12110751314182926,0.5568336471713803,82.896873935,148.670046725,34.3882581,3.8711416490486243
25,26,-1.1358690184794695,0.04036917104727528,0.16424589592824848,125.606951375,181.420656685,55.57542213000001,3.4627769886363624
26,27,-0.4705603354172912,0.16147668418910566,-0.6209296065580149,101.772580395,146.29907865,52.531402205,4.385365439093486
27,28,0.06506953653954706,0.2825841973309348,-0.2283418553148831,121.418952025,157.65721171,41.26247220000001,4.817028676021969
28,29,-0.2393937590990762,0.4642454670436775,1.7345969009007751,137.98269932,179.09139248,37.72648112,5.164463315217395
29,30,1.271646300737057,0.5752606874236887,0.16424589592824848,105.905468645,178.67632585500004,51.169560100000005,4.799865642994237
30,31,-0.4029018252753751,0.15138439142728652,-1.0135173578011465,136.382408935,158.32711675500005,39.13057882,3.5762078093977485
31,32,-0.4085400344538677,0.25230731904547754,-0.6209296065580149,109.171008125,146.31628154,42.50577182,5.224154528182393
32,33,0.20602476600187314,0.7468296643746124,0.9494213984145116,130.76394503,146.43443288,53.4749681,5.1406473594548565
