"mu","sig","tau","log_like","aic","bic","subject"
179.895783593802,52.2265982974285,134.972375710104,-9989.26125825125,19984.5225165025,20000.6688895997,69
138.809479992244,50.8471385903677,108.493039243859,-10607.6207645123,21221.2415290246,21237.6350585285,70
169.839388605425,53.9004064951453,121.765096822823,-10441.8942320826,20889.7884641652,20906.0965476143,71
137.389375232717,52.8970163071418,110.995087770234,-10788.6091645487,21583.2183290974,21599.6629962031,72
143.704649209096,53.2883985276632,210.325617465065,-7207.90518031743,14421.8103606349,14436.8168284981,73
165.757425646268,49.9327871379467,130.157698134345,-10398.8226815465,20803.645363093,20819.9232240643,74
177.539493706186,46.1378142665377,153.985992392811,-9089.58346301127,18185.1669260225,18200.9924429809,75
120.303165350347,37.6734024558503,170.172336273709,-9303.57932597519,18613.1586519504,18629.0356634789,76
137.466283583733,36.3327546922266,112.755137727459,-11699.9302702733,23405.8605405466,23422.5949769639,77
181.108899990616,46.3783651822869,106.778171183548,-10585.6375571505,21177.275114301,21193.6823659557,78
148.946583392659,41.3441204149497,82.2017886213579,-11660.9163050487,23327.8326100975,23344.6472935399,79
236.220241294252,80.6219935327385,27.2110126822541,-87.7369364942693,181.473872988539,183.598023591845,80
195.600685276867,64.6962439670577,124.138902475327,-8476.84668578194,16959.6933715639,16975.3302549694,81
189.930464909375,38.3940175355361,97.1455137985314,-10482.7417363968,20971.4834727937,20987.9264492823,82
158.765776391035,38.5842809180912,175.263355378651,-9003.68491984057,18013.3698396811,18029.1387314002,83
166.350114110143,40.4535970734033,111.763605424276,-10516.6308889213,21039.2617778426,21055.6501453149,84
119.387949799846,43.029393846827,146.264495282789,-9587.5985985076,19181.1971970152,19197.2099602458,85
171.855122928455,54.6038867541109,106.321227970576,-9383.33679087551,18772.673581751,18788.6999769428,86
155.990077600215,33.1078773439139,170.784459094164,-8424.17240208518,16854.3448041704,16869.9393549017,87
157.877054748415,42.474630191807,107.817855425324,-11082.1407129776,22170.2814259551,22186.8437552003,88
149.761648244961,53.2012036648826,196.998392276981,-8477.15367736677,16960.3073547335,16975.8223252018,89
145.594502503954,44.3542006418609,106.243113795625,-11016.0262857549,22038.0525715098,22054.5887852473,90
149.260433795461,32.7431467093804,110.512529911109,-11826.3820132035,23658.764026407,23675.5396115517,91
149.800198622621,49.9894575730707,122.330641837183,-10005.8049429634,20017.6098859269,20033.7970507527,92
117.119035194122,45.8615738863959,185.591279133854,-6022.59852400274,12051.1970480055,12065.7186875933,93
143.653404337123,37.9854721735728,185.479490751056,-7974.11772508884,15954.2354501777,15969.6209380147,94
183.167337307829,48.6681206141095,134.102189180587,-9363.37080387145,18732.7416077429,18748.6972263886,95
153.562580704145,50.1016280486052,104.161656544523,-11384.7919267897,22775.5838535794,22792.2120842155,96
183.319708421572,38.0661147197638,120.019226628988,-9914.00838299218,19834.0167659844,19850.2167945358,97
171.406623265776,43.8498269210013,157.825534288973,-8744.67018203753,17495.3403640751,17511.0515411534,98
190.952565679201,45.0227966071554,127.228376944009,-9431.4850571183,18868.9701142366,18884.9828774672,99
187.832066494747,55.1720176928706,95.709777270201,-9907.91845901644,19821.8369180329,19838.0442725953,100
