"mu","sig","tau","subject"
142.443091839794,39.9362632079921,127.313788080928,1
153.267806449092,42.5194204180157,125.096983469791,2
147.580307847384,42.9325620416792,116.781328184937,3
208.951028349176,66.5519750179558,175.292646620114,4
147.970035681967,56.8565594690704,131.537101447768,5
141.557435677424,40.4140067682,102.3649676528,6
147.460961011062,36.7676066219241,192.825548530298,7
184.799737547326,46.6834934503954,104.118802004417,8
188.172424087583,51.973978101741,108.4909260738,9
142.533082210697,36.9124186062772,114.223494230544,10
181.092038382565,53.5340036769516,166.355963273641,11
177.343449143408,49.7945725794134,64.3605431343034,12
147.019817237427,40.7798797478083,126.15681292824,13
159.286199851614,59.4631829489931,140.29885640473,14
162.160231780068,46.2482488061878,70.9811870440826,15
162.288654623211,49.8898362181556,90.2776773464925,16
146.954495534465,37.409921937235,107.810648326165,17
157.777560535677,52.8678764406018,122.586951230477,18
158.923983602678,52.4661668581368,113.206185695816,19
182.267167760307,42.9781477798519,130.807646779331,20
140.660676372794,42.3131199300715,138.574451079226,21
148.960494597316,42.9942160101546,108.297910178709,22
157.554670134192,43.6329838869349,109.244984269503,23
180.069977064348,64.0203516029331,145.421101614694,24
145.166666732101,36.5964995867269,91.4040114073572,25
172.913948329083,56.7536795928332,144.10514438548,26
145.222625082328,50.6725230392129,102.392951817224,27
155.828147702916,41.4742767403657,127.399077348412,28
184.109398147625,48.5011012187926,127.973791222706,29
171.072934382662,44.9013632135086,123.30925183882,30
156.275214152403,55.2361337786782,135.36215597768,31
147.648163056642,44.4447457277071,108.340731060337,32
152.026392561036,61.4906282420247,117.939274470522,33
157.340255040043,53.7343515153898,143.980535582263,34
142.00633791328,47.7512350150116,142.861815469322,35
130.840962082249,30.8654117402767,127.241760783522,36
141.808626065343,58.5641620956439,110.509473942743,37
141.046577888093,62.5421461734389,222.5062019053,38
165.83281009065,48.8610887424166,94.3143488034365,39
181.559105814286,43.9499491253641,87.9400468833564,40
146.992831713642,43.9443947260916,139.2017850551,41
165.829051550562,44.8498732548479,134.436211677035,42
150.530960070134,43.7248438064487,117.327770030354,43
168.009463773224,65.9595978380204,170.256298846619,44
142.574368327993,56.9813092767083,135.179792942245,45
195.578599537228,59.0279953923076,122.018142780621,46
149.759582046538,52.0189986785601,101.713842978433,47
170.450313138633,39.2540045117833,133.171398943266,48
156.523343366086,57.6666562107064,176.686134645355,49
166.262344229082,39.3633052467659,122.645076058959,50
147.417455577187,37.1393649341199,129.189402347611,51
165.335475429396,61.3614467595702,175.935056374678,52
144.038683615644,53.5311895403458,165.505004897573,53
163.014758353811,50.1673263477814,110.493712725854,54
155.812717655405,63.5606216099575,120.122755869745,55
166.101533334373,54.1631241571197,87.7941564716507,56
158.282683217655,39.4459760038428,169.276572034092,57
139.443172494051,61.6403600425619,183.538486957603,58
199.712494797959,60.9385584440158,144.87236260572,59
152.567909688948,47.4857069823111,94.5827723047721,60
181.092634788784,43.5124812847262,126.328919437075,61
206.645154947807,46.2505521651441,135.099176121074,62
162.663727449119,53.6481970030142,137.279459489709,63
121.353478215204,44.5061547175961,207.413401244995,64
149.771615227435,38.6443406576883,83.9203321504023,65
139.501428666396,42.1722309318001,136.282923931932,66
144.043823519846,35.6125481035514,125.798931206756,67
129.218993947215,31.7370012064086,136.405406397971,68
177.885082344822,49.7587709133904,135.852594538959,69
138.963637727829,51.5626274529471,109.474842547362,70
169.226667786795,52.7383393581833,121.508016284566,71
139.955492420505,52.9780843149249,107.707210252472,72
148.433311778008,54.0510262214335,207.808480746111,73
164.305868726512,51.0819645543354,129.789727526225,74
176.024217585474,46.2214884949625,154.852410544349,75
119.191694029774,37.313604105004,171.647963184022,76
139.744463944813,36.2110992454817,110.851645915778,77
180.601564261028,47.7235830190182,107.005540034542,78
151.370260432254,41.972573349928,80.0845984059345,79
273.583694268054,82.5049168770809,2.36102696900686,80
197.124868016261,63.8584717316824,126.744979659595,81
190.384372467121,37.4698487338765,98.5837723369411,82
161.348499506364,40.6501691707795,172.517381365304,83
163.620764157846,41.0208626229966,113.90244852471,84
120.544405810765,44.3141123265043,145.527898522614,85
172.23867590684,54.5373621797119,105.533896158391,86
157.10732109394,32.408965575213,169.839567979669,87
157.21663198657,40.7006962231482,109.116616976876,88
148.970576451861,51.213229421778,198.139713914743,89
142.245998309838,43.3406417792472,108.764796477152,90
148.147649551153,33.3317145360733,111.367259396498,91
152.029079575296,51.2533303579719,120.503307478004,92
115.810259220186,45.8135927303992,187.033906991832,93
145.049676713799,39.0588328134823,183.061378145793,94
183.505276703033,50.1528875401908,133.970783807267,95
155.674628139155,51.0312659310709,102.189699833696,96
184.078734360681,39.7120260777438,119.025196615146,97
170.380165615189,44.5728739877371,155.679859237988,98
190.113975646095,44.0020633912516,127.295417356894,99
185.169042044303,55.8041506539211,98.106952385601,100
