"experiment_file","experiment_path","image","key","key_time","logfile","phase","playtime","setSize","subject_nr","timestamp","waittime"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","ready1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","pre","0","3","93","65357","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","fix","1500","3","93","66641","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","68276","69278"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","69621","70622"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","70993","71993"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","72343","73645"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","73998","75300"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","75657","76959"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test1.png","9","86990","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","77346","86991"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test2.png","3","97453","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","88093","97454"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test3.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","98597","100094"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","wait","5000","3","93","101203","100094"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","fix","1500","3","93","106303","100094"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study1.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","107923","108925"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study2.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","109281","110283"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study3.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","110626","111628"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update1.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","111974","113276"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update2.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","113617","114919"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update3.png","6","100093","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","115282","116584"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test1.png","4","118445","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","116953","118446"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test2.png","6","120470","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","119544","120471"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test3.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","121583","122271"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","ready2.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","pre","0","3","93","128048","122271"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","fix","1500","3","93","128582","122271"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_study1.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","130202","131204"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_study2.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","131548","132550"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_study3.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","3","93","132943","133945"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_update1.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","134306","135608"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_update2.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","135988","137290"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_update3.png","1","122270","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","3","93","137639","138941"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_test1.png","9","142958","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","139310","142959"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_test2.png","7","146822","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","144061","146822"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_test3.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","3","93","148014","148318"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","wait","5000","4","93","149416","148318"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","fix","1500","4","93","154553","148318"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study1.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","4","93","156202","157205"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study2.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","4","93","157573","158575"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study3.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","4","93","158990","159992"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study4.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","study","1000","4","93","160320","161322"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update1.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","4","93","161669","162971"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update2.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","4","93","163335","164637"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update3.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","4","93","164989","166291"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update4.png","7","148318","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","update","1300","4","93","166683","167985"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test1.png","3","171293","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","4","93","168347","171294"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test2.png","9","175094","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","4","93","172396","175095"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test3.png","5","179510","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","4","93","176212","179511"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test4.png","1","181238","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","test","0","4","93","180614","181238"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","1","181238","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj093.csv","wait","5000","3","93","182369","181238"
