experiment_file,experiment_path,image,key,key_time,logfile,phase,playtime,setSize,subject_nr,timestamp,waittime
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,ready1.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,pre,0,3,47,102215,NA
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,fixation.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,fix,1500,3,47,105277,NA
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_study1.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,106885,107887
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_study2.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,108252,109254
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_study3.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,109609,110611
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_update1.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,update,1300,3,47,110980,112282
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_update2.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,update,1300,3,47,112632,113934
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_update3.png,NA,NA,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,update,1300,3,47,114316,115618
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_test1.png,9,131837,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,test,0,3,47,116001,131838
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_test2.png,7,142453,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,test,0,3,47,132964,142454
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr1_test3.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,test,0,3,47,143589,147726
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,wait.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,wait,5000,3,47,148829,147726
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,fixation.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,fix,1500,3,47,153940,147726
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_study1.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,155557,156558
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_study2.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,156921,157923
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_study3.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,158316,159318
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_update1.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,update,1300,3,47,159670,160972
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_update2.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,update,1300,3,47,161346,162648
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_update3.png,2,147725,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,update,1300,3,47,163000,164302
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_test1.png,5,178869,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,test,0,3,47,164676,178870
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_test2.png,7,188909,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,test,0,3,47,179983,188910
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr2_test3.png,4,198581,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,test,0,3,47,190038,198582
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,ready2.png,4,198581,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,pre,0,3,47,223127,198582
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,fixation.png,4,198581,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,fix,1500,3,47,224983,198582
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr3_study1.png,4,198581,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,226589,227591
MU.osexp,C:\Users\Public\Experiments\IDs\05-WMC\MU,Tr3_study2.png,4,198581,C:/Users/Public/Experiments/IDs/05-WMC/MU/MU_SM01_results/MUsbj047.csv,study,1000,3,47,227961,228963
