"experiment_file","experiment_path","image","key","key_time","logfile","phase","playtime","setSize","subject_nr","timestamp","waittime"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","ready1.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","pre","0","3","33","99618","NA"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","fixation.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","fix","1500","3","33","100798","NA"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_study1.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","102373","103373"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_study2.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","103699","104699"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_study3.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","105024","106025"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_update1.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","106343","107645"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_update2.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","108001","109303"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_update3.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","109671","110973"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_test1.png","space","115653","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","111356","115654"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_test2.png","1","120741","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","116744","120742"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_test3.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","121852","124462"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","wait.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","wait","5000","3","33","125567","124462"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","fixation.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","fix","1500","3","33","130695","124462"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_study1.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","132330","133332"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_study2.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","133715","134717"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_study3.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","135076","136078"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_update1.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","136431","137733"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_update2.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","138094","139396"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_update3.png","2","124461","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","139756","141058"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_test1.png","4","146885","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","141406","146886"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_test2.png","6","149508","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","147993","149509"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr2_test3.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","150636","151222"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","ready2.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","pre","0","3","33","154863","151222"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","fixation.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","fix","1500","3","33","156084","151222"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_study1.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","157701","158703"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_study2.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","159074","160076"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_study3.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","3","33","160430","161432"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_update1.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","161761","163063"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_update2.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","163431","164733"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_update3.png","1","151221","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","3","33","165099","166401"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_test1.png","9","168621","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","166760","168622"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_test2.png","7","170517","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","169727","170518"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr3_test3.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","test","0","3","33","171627","171966"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","wait.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","wait","5000","4","33","173079","171966"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","fixation.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","fix","1500","4","33","178183","171966"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_study1.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","4","33","179809","180811"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_study2.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","4","33","181151","182153"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_study3.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","4","33","182529","183531"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_study4.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","study","1000","4","33","183902","184904"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_update1.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","4","33","185269","186572"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_update2.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","4","33","186927","188228"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr4_update3.png","7","171965","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj033.csv","update","1300","4","33","188592","189894"
