"experiment_file","experiment_path","image","key","key_time","logfile","phase","playtime","setSize","subject_nr","timestamp","waittime"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","ready1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","pre","0","3","92","53872","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","fix","1500","3","92","55958","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","study","1000","3","92","57537","58537"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","study","1000","3","92","58880","59880"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","study","1000","3","92","60210","61212"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","update","1300","3","92","61547","62848"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","update","1300","3","92","63177","64477"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","update","1300","3","92","64814","66114"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test1.png","1","75712","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","test","0","3","92","66428","75713"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test2.png","7","81664","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","test","0","3","92","76797","81665"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test3.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","test","0","3","92","82756","93633"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","wait","5000","3","92","94697","93633"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","fix","1500","3","92","99887","93633"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study1.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","study","1000","3","92","101455","102455"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study2.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","study","1000","3","92","102771","103771"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study3.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","study","1000","3","92","104106","105106"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update1.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","update","1300","3","92","105422","106722"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update2.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","update","1300","3","92","107064","108364"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update3.png","4","93632","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","update","1300","3","92","108699","109999"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test1.png","2","130528","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj092.csv","test","0","3","92","110314","130529"
