"experiment_file","experiment_path","image","key","key_time","logfile","phase","playtime","setSize","subject_nr","timestamp","waittime"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","ready1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","pre","0","3","84","88669","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","fix","1500","3","84","90135","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","study","1000","3","84","91722","92722"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","study","1000","3","84","93080","94082"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","study","1000","3","84","94445","95445"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","update","1300","3","84","95803","97104"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","update","1300","3","84","97433","98735"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","update","1300","3","84","99143","100443"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test1.png","9","106123","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","test","0","3","84","100756","106124"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test2.png","8","109362","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj084.csv","test","0","3","84","107227","109363"
