,MU_Partial,OSPAN_Partial,RAPM
0,0.4892156862745099,0.84,0.75
1,0.669607843137255,0.963,0.3333333333333333
2,0.7,0.9079999999999999,0.6666666666666666
3,0.5843137254901961,0.983,0.4166666666666667
4,0.6598039215686277,0.972,0.8333333333333334
5,0.5764705882352941,0.972,0.16666666666666666
6,0.2647058823529412,0.972,0.25
7,0.3705882352941177,0.958,0.6666666666666666
8,0.8715686274509804,1.0,0.6666666666666666
9,0.511764705882353,0.768,0.5833333333333334
10,0.7117647058823531,0.733,0.16666666666666666
11,0.6245098039215685,0.8959999999999999,0.5833333333333334
12,0.28725490196078435,0.8759999999999999,0.6666666666666666
13,0.2980392156862745,0.85,0.08333333333333333
14,0.3450980392156863,0.972,0.25
15,0.4686274509803922,0.833,0.3333333333333333
16,0.5656862745098039,0.9670000000000001,0.5833333333333334
17,0.5313725490196078,0.983,0.6666666666666666
18,0.6823529411764706,0.8009999999999999,0.5
19,0.5245098039215685,1.0,0.16666666666666666
20,0.7382352941176471,0.8640000000000001,0.5
21,0.4362745098039215,0.6579999999999999,0.08333333333333333
22,0.6500000000000001,0.682,0.6666666666666666
23,0.10392156862745096,0.7829999999999999,0.3333333333333333
24,0.4127450980392157,0.86,0.5833333333333334
25,0.3058823529411765,0.8759999999999999,0.5
26,0.4215686274509804,0.888,0.3333333333333333
27,0.5147058823529411,0.9,0.4166666666666667
28,0.461764705882353,0.9179999999999999,0.8333333333333334
29,0.7245098039215686,0.929,0.5
30,0.4333333333333333,0.887,0.25
31,0.4323529411764706,0.897,0.3333333333333333
32,0.5392156862745098,0.946,0.6666666666666666
33,0.5382352941176469,0.9790000000000001,0.5833333333333334
34,0.7127450980392156,0.983,0.3333333333333333
35,0.2852941176470588,0.8859999999999999,0.5833333333333334
36,0.3990196078431372,0.871,0.5833333333333334
37,0.6117647058823529,0.963,0.9166666666666666
38,0.4049019607843137,0.838,0.4166666666666667
39,0.538235294117647,0.8390000000000001,0.6666666666666666
40,0.7725490196078431,0.9670000000000001,0.5
41,0.4147058823529412,0.664,0.4166666666666667
42,0.3764705882352941,0.935,0.3333333333333333
43,0.3558823529411765,0.778,0.16666666666666666
44,0.4774509803921569,0.925,0.5
45,0.5941176470588235,0.9329999999999999,0.5
46,0.2519607843137255,0.8320000000000001,0.5833333333333334
47,0.4509803921568627,0.924,0.5
48,0.5509803921568628,0.8079999999999999,0.5833333333333334
49,0.4156862745098039,0.9420000000000001,0.5833333333333334
50,0.7754901960784314,0.851,0.75
51,0.5019607843137255,0.862,0.5
52,0.17647058823529416,0.475,0.16666666666666666
53,0.5911764705882352,0.938,0.3333333333333333
54,0.1931372549019608,0.872,0.08333333333333333
55,0.461764705882353,0.8690000000000001,0.4166666666666667
56,0.4509803921568627,0.735,0.25
57,0.24705882352941175,0.782,0.16666666666666666
58,0.6088235294117645,0.772,0.8333333333333334
59,0.4117647058823529,0.669,0.6666666666666666
60,0.2480392156862745,0.826,0.25
61,0.646078431372549,0.8809999999999999,0.4166666666666667
62,0.453921568627451,0.9179999999999999,0.5833333333333334
63,0.5813725490196078,0.929,0.6666666666666666
64,0.9323529411764708,0.914,0.25
65,0.6196078431372549,0.963,0.5
66,0.2686274509803922,0.703,0.25
67,0.33921568627450976,0.958,0.5
68,0.627450980392157,0.818,0.25
69,0.8245098039215686,1.0,0.0
70,0.3029411764705883,0.647,0.3333333333333333
71,0.9,0.983,0.9166666666666666
72,0.4352941176470588,0.9329999999999999,0.4166666666666667
73,0.315686274509804,0.718,0.5833333333333334
74,0.531372549019608,0.8690000000000001,0.75
75,0.2843137254901961,0.843,0.5
76,0.5029411764705882,0.963,0.25
77,0.3725490196078432,0.91,0.5833333333333334
78,0.5794117647058823,0.983,0.6666666666666666
79,0.3019607843137255,0.685,0.4166666666666667
80,0.7313725490196079,0.9179999999999999,0.5
81,0.3333333333333334,0.9420000000000001,0.25
82,0.85,0.9279999999999999,0.9166666666666666
83,0.2862745098039216,0.8390000000000001,0.16666666666666666
84,0.29705882352941176,0.9,0.5833333333333334
85,0.8539215686274509,0.8390000000000001,0.16666666666666666
86,0.4313725490196078,0.956,0.5
87,0.43921568627450985,0.883,0.16666666666666666
88,0.5235294117647059,0.604,0.5
89,0.4107843137254902,0.9209999999999999,0.75
90,0.6372549019607844,0.8809999999999999,0.25
91,0.5647058823529413,0.956,0.16666666666666666
92,0.4509803921568627,0.922,0.5
93,0.5901960784313726,0.946,0.5833333333333334
94,0.5627450980392157,0.8540000000000001,0.5
95,0.6784313725490198,0.826,0.5833333333333334
96,0.6941176470588235,0.81,0.8333333333333334
97,0.4480392156862745,0.86,0.3333333333333333
